temp,hum,windspeed
0.2,0.47,0.2239
0.2,0.44,0.194
0.18,0.43,0.2537
0.18,0.43,0.194
0.18,0.43,0.1343
0.18,0.43,0.1642
0.18,0.43,0.194
0.16,0.5,0.1343
0.16,0.47,0.2239
0.16,0.47,0.2239
0.16,0.5,0.2537
0.16,0.55,0.194
0.18,0.47,0.1343
0.18,0.47,0.1343
0.18,0.43,0.1045
0.2,0.47,0.1642
0.2,0.47,0.1642
0.2,0.51,0.194
0.18,0.55,0.2537
0.18,0.59,0.194
0.16,0.8,0.194
0.16,0.8,0.194
0.14,0.93,0.2537
0.16,0.86,0.2836
0.34,0.42,0.3284
0.34,0.42,0.3284
0.34,0.42,0.3284
0.34,0.42,0.2985
0.32,0.45,0.1642
0.34,0.36,0
0.42,0.26,0.2985
0.42,0.26,0.2836
0.32,0.57,0.2985
0.32,0.57,0.2836
0.32,0.57,0.2537
0.32,0.57,0.1045
0.32,0.66,0.194
0.3,0.81,0.3284
0.32,0.76,0.2537
0.3,0.7,0.4478
0.28,0.75,0.4179
0.28,0.75,0.3881
0.24,0.87,0.3582
0.24,0.87,0.3582
0.24,0.81,0.3881
0.22,0.75,0.4478
0.2,0.75,0.4179
0.2,0.75,0.4179
0.44,0.67,0
0.44,0.62,0
0.4,0.76,0
0.4,0.76,0
0.38,0.82,0.0896
0.36,0.81,0.1045
0.36,0.81,0.0896
0.4,0.71,0.1642
0.44,0.62,0.2985
0.5,0.55,0.194
0.5,0.55,0.194
0.52,0.55,0.194
0.52,0.55,0.2836
0.54,0.52,0.2537
0.54,0.52,0.2537
0.54,0.52,0.4478
0.52,0.55,0.4925
0.5,0.63,0.3881
0.46,0.67,0.3881
0.42,0.77,0.3881
0.4,0.76,0.3284
0.4,0.76,0.2985
0.38,0.82,0.3881
0.36,0.81,0.194
0.64,0.94,0.194
0.64,0.94,0.1343
0.64,0.94,0.194
0.64,0.94,0.194
0.62,0.94,0.1642
0.62,0.94,0.1045
0.64,0.94,0.0896
0.64,0.94,0
0.66,0.89,0.1045
0.72,0.74,0.0896
0.8,0.55,0.2537
0.82,0.52,0
0.86,0.47,0.1045
0.86,0.44,0.0896
0.88,0.39,0
0.88,0.39,0.2537
0.88,0.37,0.2836
0.86,0.41,0.2239
0.86,0.41,0.1642
0.52,0.48,0.1045
0.76,0.58,0
0.74,0.7,0.1343
0.72,0.74,0.1642
0.7,0.84,0.1045
0.64,0.83,0.1343
0.64,0.83,0.0896
0.64,0.83,0
0.64,0.78,0
0.66,0.78,0.0896
0.64,0.83,0.1343
0.64,0.89,0.1642
0.66,0.83,0.1343
0.7,0.74,0.1045
0.72,0.66,0.0896
0.76,0.55,0.0896
0.76,0.55,0.0896
0.78,0.52,0
0.78,0.49,0
0.8,0.46,0
0.82,0.43,0.0896
0.82,0.41,0
0.8,0.46,0
0.8,0.46,0.1343
0.78,0.49,0.1642
0.76,0.55,0.1045
0.74,0.62,0.1045
0.74,0.62,0.1343
0.72,0.7,0.1045
0.7,0.74,0.2239
0.68,0.79,0.1045
0.68,0.79,0.1642
0.68,0.74,0.2985
0.68,0.69,0.2836
0.66,0.74,0.1642
0.66,0.74,0.1343
0.66,0.74,0.1642
0.66,0.78,0.194
0.68,0.74,0.1642
0.7,0.7,0.1642
0.7,0.74,0.1642
0.72,0.7,0.194
0.74,0.7,0.1343
0.74,0.7,0.1642
0.68,0.79,0.2836
0.68,0.79,0.2836
0.66,0.89,0.1045
0.66,0.89,0.0896
0.66,0.94,0.1045
0.66,0.94,0.2537
0.66,0.94,0.2985
0.6,0.88,0.5821
0.56,0.88,0.3881
0.5,0.94,0
0.48,0.88,0
0.48,0.88,0
0.46,0.88,0
0.46,0.94,0
0.46,0.94,0
0.44,0.94,0
0.46,0.88,0
0.52,0.83,0
0.54,0.77,0
0.56,0.73,0.1642
0.62,0.69,0.0896
0.7,0.48,0.0896
0.72,0.37,0
0.74,0.37,0
0.72,0.42,0.1045
0.7,0.45,0.0896
0.66,0.54,0.1045
0.64,0.53,0
0.58,0.78,0.0896
0.6,0.73,0
0.56,0.88,0.0896
0.56,0.88,0.0896
0.54,0.88,0.1045
0.34,0.53,0.2537
0.32,0.57,0.3284
0.32,0.57,0.2836
0.3,0.61,0.194
0.3,0.61,0.194
0.3,0.49,0.2537
0.28,0.45,0.3284
0.28,0.45,0.2537
0.3,0.42,0.3582
0.32,0.45,0.4478
0.32,0.42,0.5522
0.34,0.42,0.4925
0.34,0.42,0.4627
0.38,0.37,0.5522
0.38,0.37,0.4627
0.36,0.37,0.4179
0.36,0.34,0.3284
0.34,0.39,0.3284
0.34,0.39,0.2537
0.32,0.39,0.1642
0.32,0.39,0.194
0.3,0.45,0.1642
0.32,0.39,0.194
0.3,0.45,0.0896
0.32,0.57,0.2239
0.32,0.57,0.4179
0.3,0.61,0.2836
0.28,0.65,0.1343
0.3,0.61,0.0896
0.3,0.61,0.1045
0.3,0.61,0.0896
0.26,0.75,0.1045
0.3,0.65,0.0896
0.34,0.61,0
0.36,0.57,0
0.42,0.41,0.2985
0.46,0.36,0.2239
0.48,0.33,0.2239
0.5,0.31,0.2985
0.5,0.31,0.2537
0.5,0.34,0.2836
0.48,0.33,0.1045
0.42,0.5,0.0896
0.4,0.54,0.1045
0.36,0.76,0.1642
0.36,0.71,0.1642
0.36,0.71,0.1642
0.34,0.76,0.1045
0.22,0.75,0.1642
0.28,0.56,0.194
0.34,0.46,0.2239
0.34,0.46,0.2985
0.34,0.42,0.3881
0.32,0.45,0.2836
0.32,0.45,0.194
0.32,0.45,0.1343
0.34,0.46,0.2985
0.34,0.42,0.5224
0.34,0.46,0.5821
0.36,0.43,0.4627
0.38,0.4,0.2985
0.38,0.4,0.3284
0.38,0.4,0.2537
0.36,0.43,0.2836
0.34,0.46,0.2239
0.32,0.49,0.0896
0.3,0.65,0.0896
0.3,0.56,0.0896
0.26,0.7,0
0.26,0.7,0
0.26,0.7,0.1045
0.4,0.4,0.4627
0.36,0.43,0.4179
0.36,0.34,0.4478
0.28,0.45,0.3284
0.28,0.45,0.3284
0.26,0.41,0.3881
0.24,0.32,0.3881
0.24,0.35,0.2537
0.24,0.35,0
0.26,0.35,0.2836
0.26,0.35,0.4925
0.28,0.36,0.2537
0.3,0.36,0.2985
0.3,0.36,0.4179
0.28,0.38,0.4478
0.26,0.35,0.4179
0.26,0.35,0.3881
0.26,0.33,0.2537
0.24,0.38,0.2239
0.24,0.41,0.2239
0.24,0.41,0.3284
0.22,0.44,0.2836
0.22,0.44,0.2537
0.14,0.46,0.1343
0.14,0.43,0.1045
0.14,0.46,0
0.12,0.5,0
0.12,0.58,0.1045
0.12,0.54,0.0896
0.1,0.54,0.0896
0.1,0.54,0.1045
0.1,0.58,0.1642
0.1,0.58,0.1642
0.14,0.59,0.194
0.16,0.59,0.2537
0.2,0.55,0.3284
0.24,0.41,0.4179
0.24,0.44,0.3881
0.26,0.44,0.4478
0.26,0.44,0.3582
0.26,0.48,0.3284
0.26,0.52,0.3284
0.26,0.56,0.2836
0.26,0.6,0.2836
0.28,0.52,0.3284
0.3,0.49,0.3582
0.26,0.7,0.2985
0.24,0.87,0.0896
0.24,0.87,0.0896
0.24,0.87,0.0896
0.24,0.81,0.194
0.24,0.6,0.3582
0.24,0.52,0.4179
0.22,0.55,0.3284
0.2,0.59,0.3582
0.2,0.59,0.3582
0.22,0.55,0.4478
0.26,0.48,0.3582
0.28,0.45,0.2239
0.3,0.42,0.2836
0.32,0.36,0.194
0.34,0.34,0.2239
0.36,0.29,0.1045
0.38,0.27,0.2537
0.34,0.34,0.2239
0.34,0.34,0.2239
0.34,0.34,0.194
0.3,0.39,0.1642
0.3,0.45,0.0896
0.3,0.39,0
0.64,0.53,0.3284
0.62,0.61,0.3582
0.6,0.64,0.2537
0.58,0.68,0.194
0.54,0.77,0.2239
0.54,0.77,0.2239
0.52,0.83,0.1642
0.52,0.83,0.1343
0.56,0.83,0.1642
0.62,0.69,0.2239
0.62,0.69,0.2537
0.64,0.65,0.2537
0.68,0.57,0.2537
0.74,0.45,0.2985
0.76,0.45,0.3284
0.8,0.33,0.4478
0.8,0.33,0.4627
0.8,0.33,0.3881
0.8,0.31,0.3881
0.76,0.35,0.3881
0.74,0.37,0.2985
0.68,0.51,0.2537
0.68,0.51,0.2537
0.7,0.45,0.2985
0.62,0.83,0.2239
0.62,0.78,0.2985
0.6,0.83,0.2239
0.62,0.73,0.1642
0.6,0.78,0.1343
0.6,0.78,0.1343
0.62,0.73,0.1642
0.62,0.78,0.1045
0.66,0.69,0
0.7,0.61,0
0.7,0.61,0
0.72,0.66,0.1343
0.76,0.62,0.1343
0.8,0.63,0.2836
0.8,0.63,0.2836
0.82,0.56,0.2985
0.82,0.56,0.3284
0.82,0.56,0.2985
0.8,0.59,0.2985
0.8,0.55,0.2985
0.78,0.62,0.2985
0.76,0.66,0.2836
0.74,0.7,0.1642
0.72,0.74,0.1642
0.68,0.79,0.0896
0.68,0.74,0
0.66,0.83,0.1343
0.68,0.74,0.194
0.68,0.69,0.2537
0.66,0.69,0
0.66,0.69,0
0.68,0.65,0
0.7,0.61,0.1045
0.76,0.52,0
0.8,0.46,0
0.82,0.46,0.1343
0.86,0.41,0.2239
0.9,0.35,0
0.9,0.37,0.1642
0.92,0.35,0.2985
0.92,0.35,0.2537
0.92,0.35,0.2985
0.9,0.42,0.194
0.86,0.47,0.2239
0.86,0.47,0.2239
0.84,0.53,0.1343
0.82,0.56,0.2239
0.78,0.43,0.0896
0.66,0.94,0
0.68,0.89,0.1642
0.66,0.89,0.1045
0.66,0.89,0.1343
0.66,0.89,0.0896
0.66,0.89,0
0.66,0.94,0
0.68,0.85,0
0.7,0.84,0.1045
0.7,0.84,0.1343
0.74,0.74,0.2239
0.74,0.7,0.2836
0.76,0.62,0.2985
0.76,0.66,0.2537
0.74,0.7,0.2985
0.74,0.7,0.2239
0.74,0.7,0.2239
0.74,0.7,0.1343
0.74,0.66,0.1642
0.72,0.74,0.194
0.72,0.76,0.1045
0.72,0.76,0.1045
0.7,0.84,0.1343
0.7,0.84,0.2537
0.38,0.76,0.2836
0.34,0.87,0.1642
0.34,0.81,0.194
0.34,0.81,0.1045
0.32,0.87,0.1343
0.34,0.76,0.2239
0.34,0.76,0.1045
0.34,0.76,0.1642
0.36,0.71,0.2239
0.38,0.66,0.1642
0.38,0.68,0.1343
0.4,0.62,0.0896
0.42,0.63,0.1642
0.42,0.62,0.194
0.42,0.58,0.1045
0.42,0.58,0.194
0.42,0.58,0.194
0.42,0.66,0.2537
0.42,0.66,0.2836
0.4,0.71,0.2537
0.4,0.71,0.2239
0.4,0.76,0.2239
0.4,0.76,0.2537
0.4,0.71,0.2239
0.42,0.71,0.1045
0.4,0.76,0.1642
0.4,0.76,0.1343
0.4,0.76,0.1343
0.4,0.76,0.0896
0.38,0.87,0
0.38,0.87,0.1045
0.4,0.87,0
0.42,0.82,0.1642
0.44,0.88,0.1045
0.48,0.77,0.1642
0.52,0.72,0.1642
0.56,0.64,0.2239
0.6,0.6,0.2239
0.58,0.6,0.2836
0.56,0.64,0.2537
0.56,0.64,0.1642
0.56,0.64,0.2836
0.52,0.72,0.1343
0.54,0.73,0.2836
0.52,0.77,0.2836
0.54,0.73,0.2239
0.52,0.77,0.2537
0.54,0.77,0.2239
0.32,0.66,0.0896
0.28,0.65,0.0896
0.24,0.75,0.0896
0.24,0.75,0.1045
0.22,0.8,0.1343
0.24,0.75,0.1045
0.26,0.7,0.1045
0.22,0.75,0.1343
0.24,0.75,0.1343
0.3,0.65,0
0.36,0.57,0.1045
0.42,0.41,0.0896
0.44,0.35,0
0.46,0.31,0
0.48,0.29,0
0.48,0.29,0
0.46,0.33,0
0.44,0.35,0
0.4,0.43,0
0.36,0.76,0
0.34,0.71,0
0.34,0.61,0.0896
0.32,0.61,0
0.3,0.7,0
0.24,0.93,0.0896
0.26,0.87,0.1642
0.26,0.87,0.1642
0.24,0.87,0.0896
0.22,0.93,0.1343
0.22,0.93,0.1343
0.22,0.93,0.1642
0.24,0.87,0
0.24,0.87,0
0.28,0.81,0
0.3,0.75,0.0896
0.32,0.76,0.0896
0.4,0.5,0.3284
0.38,0.46,0.2985
0.36,0.5,0.2537
0.36,0.5,0.2537
0.32,0.57,0.2537
0.32,0.66,0.2537
0.32,0.66,0.2239
0.32,0.66,0.2836
0.3,0.65,0.194
0.3,0.7,0.1642
0.28,0.65,0.2537